CUSIP,MARKET,COUNTRY,TICKER,BENCHMARK, CPN ,SECURITY_NAME, MATURITY , DUR_ADJ_MID , PX_BID , PX_ASK , PX_LAST , PX_LOW , PX_HIGH , YLD_YTM_MID , Z_SPRD_MID , CHG_NET_1D , CHG_PCT_1D 
AO026636 Corp,CREDIT,AR,ARGENT,,7.13,ARGENT 7 1/8 06/28/17,6/28/2117,12.94,93.2,93.55,93.35,92.75,93.7,7.63,478,0.24,0.26
EK818877 Corp,CREDIT,ED,ECUA,,10.5,ECUA 10 1/2 03/24/20,3/24/2020,1.79,108.1,108.7,108.4,108.3,108.5,6.113,362,0.18,0.16
QZ017898 Corp,CREDIT,ED,ECUA,,10.75,ECUA 10 3/4 03/28/22,3/28/2022,3.21,112.55,113.25,112.9,112.7,113,7.055,440,-0.01,-0.01
EK341298 Corp,CREDIT,ED,ECUA,,7.95,ECUA 7.95 06/20/24,6/20/2024,4.84,101.35,102.05,101.7,101.55,101.75,7.604,486,0.14,0.14
AL673133 Corp,CREDIT,ED,ECUA,,9.65,ECUA 9.65 12/13/26,12/13/2026,5.91,109.55,110.25,109.9,109.75,110.05,8.053,526,0.13,0.12
AN803972 Corp,CREDIT,ED,ECUA,,9.63,ECUA 9 5/8 06/02/27,6/2/2027,6.1,109.35,110.1,109.75,109.5,109.9,8.107,530,0.04,0.04
AP642020 Corp,CREDIT,ED,ECUA,,8.88,ECUA 8 7/8 10/23/27,10/23/2027,6.31,104.5,105.15,104.85,104.6,104.95,8.14,533,0.09,0.08
EI057773 Corp,CREDIT,EL,ELSALV,,7.38,ELSALV 7 3/8 12/01/19,12/1/2019,1.62,103.85,104.65,104.25,104.05,104.3,4.816,237,0.07,0.07
EC730346 Corp,CREDIT,EL,ELSALV,,7.75,ELSALV 7 3/4 01/24/23,1/24/2023,4.06,107.25,108.2,107.7,107.7,107.85,5.913,322,0.06,0.06
EJ463561 Corp,CREDIT,EL,ELSALV,,5.88,ELSALV 5 7/8 01/30/25,1/30/2025,5.57,96.95,98.1,97.5,97.4,97.55,6.323,356,0.09,0.09
EK490384 Corp,CREDIT,EL,ELSALV,,6.38,ELSALV 6 3/8 01/18/27,1/18/2027,6.64,98.45,99.5,98.95,98.75,98.95,6.529,372,0.05,0.05
AM609735 Corp,CREDIT,EL,ELSALV,,8.63,ELSALV 8 5/8 02/28/29,2/28/2029,7.32,113.1,114.45,113.8,113.3,113.8,6.824,398,0.18,0.15
EC548297 Corp,CREDIT,EL,ELSALV,,8.25,ELSALV 8 1/4 04/10/32,4/10/2032,8.39,111.65,113.05,112.35,112.1,112.35,6.868,398,0.14,0.12
ED615696 Corp,CREDIT,EL,ELSALV,,7.63,ELSALV 7 5/8 09/21/34,9/21/2034,9.24,105,106.35,105.7,105.6,105.7,7.038,413,0.05,0.05
ED964066 Corp,CREDIT,EL,ELSALV,,7.65,ELSALV 7.65 06/15/35,6/15/2035,9.55,104.1,105.05,104.55,104.5,104.75,7.184,428,-0.12,-0.12
EI552293 Corp,CREDIT,EL,ELSALV,,7.63,ELSALV 7 5/8 02/01/41,2/1/2041,10.96,104.1,105.1,104.6,104.55,104.8,7.21,429,-0.16,-0.16
EI240433 Corp,CREDIT,DR,DOMREP,,7.5,DOMREP 7 1/2 05/06/21,5/6/2021,1.98,107.5,108,107.75,107.6,107.85,4.85,69,-0.03,-0.02
EJ378603 Corp,CREDIT,DR,DOMREP,,7,DOMREP 7 07/31/23,7/31/2023,4.54,113.1,113.55,113.45,113.35,113.45,4.217,150,0.13,0.11
EJ897751 Corp,CREDIT,DR,DOMREP,,6.6,DOMREP 6.6 01/28/24,1/28/2024,4.9,109.2,109.7,109.45,109.4,109.45,4.75,202,0.02,0.01
EJ634825 Corp,CREDIT,DR,DOMREP,,5.88,DOMREP 5 7/8 04/18/24,4/18/2024,4.33,105.1,105.7,105.4,105.4,105.5,4.846,191,-0.1,-0.1
EK710812 Corp,CREDIT,DR,DOMREP,,5.5,DOMREP 5 1/2 01/27/25,1/27/2025,5.69,102.6,103.15,102.85,102.85,102.95,5.002,223,-0.13,-0.13
EK709699 Corp,CREDIT,DR,DOMREP,,5.5,DOMREP 5 1/2 01/27/25,1/27/2025,5.7,102.8,103.35,103.05,103,103.15,4.968,220,0,0
JV806262 Corp,CREDIT,DR,DOMREP,,6.88,DOMREP 6 7/8 01/29/26,1/29/2026,6.15,110.9,111.55,111.25,111.15,111.35,5.129,234,-0.17,-0.16
AM217563 Corp,CREDIT,DR,DOMREP,,5.95,DOMREP 5.95 01/25/27,1/25/2027,6.88,104.95,105.5,105.2,105.2,105.25,5.209,239,-0.04,-0.04
EF324399 Corp,CREDIT,DR,DOMREP,,8.63,DOMREP 8 5/8 04/20/27,4/20/2027,5.88,117.55,118.8,118.2,118.2,118.2,6.01,292, #N/A N/A , #N/A N/A 
EK242421 Corp,CREDIT,DR,DOMREP,,7.45,DOMREP 7.45 04/30/44,4/30/2044,12.04,113.4,114.2,113.8,113.6,113.8,6.36,343,0.14,0.13
EK710806 Corp,CREDIT,DR,DOMREP,,6.85,DOMREP 6.85 01/27/45,1/27/2045,12.65,107.3,108.1,107.7,107.6,107.7,6.255,333,0.15,0.14
EH427666 Corp,CREDIT,JM,JAMAN,,8,JAMAN 8 06/24/19,6/24/2019,0.79,103.7,104.45,104.1,104.1,104.15,4.767,-139, -   , -   
EJ789239 Corp,CREDIT,JM,JAMAN,,8.5,JAMAN 8 1/2 11/16/21,11/16/2021,1.77,106.85,107.35,107.1,107.1,107.1,6.324,103,0,0
EC495994 Corp,CREDIT,JM,JAMAN,,11.63,JAMAN 11 5/8 01/15/22,1/15/2022,3.21,125.65,127.15,126.4,126.4,126.45,4.18,153,0.02,0.02
EK364326 Corp,CREDIT,JM,JAMAN,,7.63,JAMAN 7 5/8 07/09/25,7/9/2025,5.11,117.25,117.9,117.55,117.5,117.55,4.767,155,0,0
EF130483 Corp,CREDIT,JM,JAMAN,,9.25,JAMAN 9 1/4 10/17/25,10/17/2025,5.63,128.65,130.55,129.6,129.6,130.35,4.609,183, -   , -   
UV349087 Corp,CREDIT,JM,JAMAN,,6.75,JAMAN 6 3/4 04/28/28,4/28/2028,6.8,111.6,112.4,112,112,112.1,5.213,224,-0.01,-0.01
EF296705 Corp,CREDIT,JM,JAMAN,,8.5,JAMAN 8 1/2 02/28/36,2/28/2036,10.1,124.45,125.55,125,125,125.1,6.18,327,0.06,0.05
EG252961 Corp,CREDIT,JM,JAMAN,,8,JAMAN 8 03/15/39,3/15/2039,10.54,120.85,122.05,121.45,121.3,121.5,6.166,319,0.14,0.12
UV354341 Corp,CREDIT,JM,JAMAN,,7.88,JAMAN 7 7/8 07/28/45,7/28/2045,12.44,120.75,121.9,121.3,121.3,121.55,6.241,332,0.07,0.06
ED642614 Corp,CREDIT,BZ,BRAZIL,,8.88,BRAZIL 8 7/8 10/14/19,10/14/2019,1.5,110.25,111,110.6,110.55,110.65,2.193,-23,0,0
EC219146 Corp,CREDIT,BZ,BRAZIL,,12.75,BRAZIL 12 3/4 01/15/20,1/15/2020,1.71,119.45,119.8,119.6,119.2,119.75,2.064,-40,-0.09,-0.08
EI224092 Corp,CREDIT,BZ,BRAZIL,,4.88,BRAZIL 4 7/8 01/22/21,1/22/2021,2.69,104.65,104.9,104.8,104.7,104.9,3.136,54,-0.04,-0.04
EJ352957 Corp,CREDIT,BZ,BRAZIL,B5,2.63,BRAZIL 2 5/8 01/05/23,1/5/2023,4.48,94.85,95.1,95,94.9,95.3,3.765,105,0.05,0.05
EC359050 Corp,CREDIT,BZ,BRAZIL,,8.88,BRAZIL 8 7/8 04/15/24,4/15/2024,4.8,126.1,127.05,126.6,126.4,126.75,3.949,121,-0.01,-0.01
ED084799 Corp,CREDIT,BZ,BRAZIL,,8.88,BRAZIL 8 7/8 04/15/24,4/15/2024,4.8,126.25,127.2,126.75,126.65,126.9,3.925,119,0.28,0.22
EJ901174 Corp,CREDIT,BZ,BRAZIL,,4.25,BRAZIL 4 1/4 01/07/25,1/7/2025,5.86,99.9,100.15,100,99.65,100.1,4.249,148,0.15,0.15
ED801796 Corp,CREDIT,BZ,BRAZIL,,8.75,BRAZIL 8 3/4 02/04/25,2/4/2025,5.41,127.25,128.05,127.65,127.6,127.95,4.124,136,-0.26,-0.2
JK424419 Corp,CREDIT,BZ,BRAZIL,,6,BRAZIL 6 04/07/26,4/7/2026,6.34,109.75,109.95,109.85,109.35,109.85,4.534,174,0.4,0.37
TT333060 Corp,CREDIT,BZ,BRAZIL,,10.13,BRAZIL 10 1/8 05/15/27,5/15/2027,6.43,140.35,141.25,140.8,140.45,140.85,4.634,183,0.07,0.05
AP416684 Corp,CREDIT,BZ,BRAZIL,B10,4.63,BRAZIL 4 5/8 01/13/28,1/13/2028,7.78,98,98.3,98.15,97.9,98.25,4.862,202,0.14,0.15
EC232402 Corp,CREDIT,BZ,BRAZIL,,12.25,BRAZIL 12 1/4 03/06/30,3/6/2030,7.3,161.65,162.95,162.3,161.75,162.4,5.21,236,0.06,0.04
ED289312 Corp,CREDIT,BZ,BRAZIL,,8.25,BRAZIL 8 1/4 01/20/34,1/20/2034,9.59,127.15,127.75,127.45,127.1,127.75,5.615,271,0.13,0.1
EF238767 Corp,CREDIT,BZ,BRAZIL,,7.13,BRAZIL 7 1/8 01/20/37,1/20/2037,10.93,117,117.5,117.25,117,117.65,5.63,270,0.14,0.12
EH995062 Corp,CREDIT,BZ,BRAZIL,,5.63,BRAZIL 5 5/8 01/07/41,1/7/2041,12.51,96.7,97.2,96.95,96.3,97.2,5.868,293,0.51,0.53
EK403867 Corp,CREDIT,BZ,BRAZIL,,5,BRAZIL 5 01/27/45,1/27/2045,13.93,89.45,89.75,89.6,88.95,89.75,5.765,283,0.39,0.44
LW979587 Corp,CREDIT,BZ,BRAZIL,B30,5.63,BRAZIL 5 5/8 02/21/47,2/21/2047,13.95,96.35,96.75,96.55,96,96.8,5.875,295,0.35,0.36
ED249704 Corp,CREDIT,NE,PETBRA,,8.38,PETBRA 8 3/8 12/10/18,12/10/2018,0.75,103.85,104.5,104.15,104.15,104.2,2.936,70,-0.04,-0.04
EJ675691 Corp,CREDIT,NE,PETBRA,,3,PETBRA 3 01/15/19,1/15/2019,0.01,100.15,100.5,100.45,100.45,100.45,26.05,"2,583",0,0
EH713213 Corp,CREDIT,NE,PETBRA,,7.88,PETBRA 7 7/8 03/15/19,3/15/2019,0.01,105.05,105.5,105.3,105.3,105.3,26.117,"2,590", -   , -   
EI019448 Corp,CREDIT,NE,PETBRA,,5.75,PETBRA 5 3/4 01/20/20,1/20/2020,1.78,103.7,104.25,104,103.95,104,3.551,108,-0.13,-0.13
EK118224 Corp,CREDIT,NE,PETBRA,,4.88,PETBRA 4 7/8 03/17/20,3/17/2020,1.9,102.1,102.75,102.4,102.3,102.45,3.64,115,-0.05,-0.05
EK118230 Corp,CREDIT,NE,PETBRA,,4.48,PETBRA 0 03/17/20,3/17/2020,0.05,102.55,103.35,102.95,102.9,102.95,3.37,140,0.03,0.03
EI543171 Corp,CREDIT,NE,PETBRA,,5.38,PETBRA 5 3/8 01/27/21,1/27/2021,2.67,102.9,103.35,103.1,102.95,103.15,4.225,163,0.12,0.12
LW146061 Corp,CREDIT,NE,PETBRA,,8.38,PETBRA 8 3/8 05/23/21,5/23/2021,2.81,112,112.35,112.15,112.05,112.2,4.302,169,0.11,0.1
AM076089 Corp,CREDIT,NE,PETBRA,,6.13,PETBRA 6 1/8 01/17/22,1/17/2022,3.43,105.4,106,105.7,105.45,105.75,4.503,184,0.22,0.2
EJ675681 Corp,CREDIT,NE,PETBRA,B5,4.38,PETBRA 4 3/8 05/20/23,5/20/2023,4.56,97.75,98.3,98,97.75,98.05,4.807,209,0.21,0.21
EK118272 Corp,CREDIT,NE,PETBRA,,6.25,PETBRA 6 1/4 03/17/24,3/17/2024,4.9,104.8,105.35,105.05,104.6,105.1,5.26,252,0.44,0.43
AP216789 Corp,CREDIT,NE,PETBRA,,5.3,PETBRA 5.299 01/27/25,1/27/2025,5.68,98.2,98.75,98.5,98.15,98.5,5.564,280,0.27,0.28
LW154355 Corp,CREDIT,NE,PETBRA,,8.75,PETBRA 8 3/4 05/23/26,5/23/2026,5.94,117.85,118.5,118.2,117.8,118.2,5.925,314,0.33,0.28
AM076629 Corp,CREDIT,NE,PETBRA,,7.38,PETBRA 7 3/8 01/17/27,1/17/2027,6.53,108.8,109.45,109.15,108.65,109.2,6.032,322,0.38,0.35
AP216819 Corp,CREDIT,NE,PETBRA,B10,6,PETBRA 5.999 01/27/28,1/27/2028,7.34,99.05,99.6,99.35,98.9,99.35,6.089,325,0.36,0.36
EI021953 Corp,CREDIT,NE,PETBRA,,6.88,PETBRA 6 7/8 01/20/40,1/20/2040,11.08,98.3,99,98.65,98,98.7,6.995,407,0.67,0.68
EI543179 Corp,CREDIT,NE,PETBRA,,6.75,PETBRA 6 3/4 01/27/41,1/27/2041,11.37,97,97.85,97.4,96.8,97.55,6.976,405,0.46,0.48
EJ675671 Corp,CREDIT,NE,PETBRA,,5.63,PETBRA 5 5/8 05/20/43,5/20/2043,12.27,86,86.85,86.4,85.75,86.45,6.752,382,0.39,0.46
EK118278 Corp,CREDIT,NE,PETBRA,B30,7.25,PETBRA 7 1/4 03/17/44,3/17/2044,11.42,101.85,102.55,102.2,101.5,102.25,7.065,414,0.57,0.56
EK949928 Corp,CREDIT,NE,PETBRA,,6.85,PETBRA 6.85 06/05/15,6/5/2115,13.68,94.9,95.75,95.35,94.75,95.35,7.185,435,0.64,0.67
EJ675766 Corp,CREDIT,NE,PETBRA,,3.86,PETBRA 0 01/15/19,1/15/2019,0.13,100.65,101.3,100.95,100.9,101,2.989,100,-0.03,-0.03
EH677304 Corp,CREDIT,CO,COLOM,,7.38,COLOM 7 3/8 03/18/19,3/18/2019,0.99,104.95,105.1,105,104.9,105.7,2.533,23,-0.04,-0.04
EC230135 Corp,CREDIT,CO,COLOM,,11.75,COLOM 11 3/4 02/25/20,2/25/2020,1.82,116.95,117.3,117.1,117.05,117.15,2.854,37,-0.02,-0.02
EI718754 Corp,CREDIT,CO,COLOM,,4.38,COLOM 4 3/8 07/12/21,7/12/2021,3.11,103.7,103.95,103.8,103.7,103.9,3.171,54,0.05,0.05
EJ526639 Corp,CREDIT,CO,COLOM,B5,2.63,COLOM 2 5/8 03/15/23,3/15/2023,4.61,95.55,95.8,95.65,95.4,95.85,3.569,85,0.08,0.08
EJ846122 Corp,CREDIT,CO,COLOM,,4,COLOM 4 02/26/24,2/26/2024,5.09,100.7,100.95,100.85,100.5,100.9,3.844,110,0.02,0.02
ED291047 Corp,CREDIT,CO,COLOM,,8.13,COLOM 8 1/8 05/21/24,5/21/2024,4.96,122.85,123.3,123.1,123.05,123.2,3.912,117,-0.03,-0.02
UV931068 Corp,CREDIT,CO,COLOM,B10,4.5,COLOM 4 1/2 01/28/26,1/28/2026,6.44,103,103.3,103.15,102.85,103.75,4.031,123,0.1,0.09
TT332462 Corp,CREDIT,CO,COLOM,,8.38,COLOM 8 3/8 02/15/27,2/15/2027,6.61,123.7,128,125.85,125.85,126.75,4.793,198, -   , -   
EF685173 Corp,CREDIT,CO,COLOM,,7.38,COLOM 7 3/8 09/18/37,9/18/2037,11.11,127.4,128,127.7,127,128.05,5.118,219,0.69,0.55
EI010049 Corp,CREDIT,CO,COLOM,,6.13,COLOM 6 1/8 01/18/41,1/18/2041,12.86,113.75,114.3,114.05,113.4,114.15,5.081,214,0.65,0.57
EK038600 Corp,CREDIT,CO,COLOM,,5.63,COLOM 5 5/8 02/26/44,2/26/2044,13.92,107.8,108.25,108.05,107.3,108.15,5.066,212,0.6,0.56
EK712708 Corp,CREDIT,CO,COLOM,B30,5,COLOM 5 06/15/45,6/15/2045,14.62,99.25,99.6,99.45,98.7,99.6,5.038,210,0.72,0.73
EJ828279 Corp,CREDIT,CO,ECOPET,,4.25,ECOPET 4 1/4 09/18/18,9/18/2018,0.54,100.6,101.05,100.85,100.8,100.95,2.739,56,-0.06,-0.05
